time,fossil_fuels,windpower,solarpower,other_green_energy,total_load_actual,price_day_ahead,price_actual,day_of_week,hour_of_day,price_actual_lag_24h,price_actual_lag_1w,price_actual_lag_2w,price_actual_lag_3w,price_actual_lag_4w,fossil_fuels_lag_24h,windpower_lag_24h,solarpower_lag_24h,other_green_energy_lag_24h,total_load_actual_lag_24h
2015-01-28 23:00:00,11161.0,7970.0,103.0,3647.0,28577.0,45.28,55.27,2.0,23.0,51.88,50.5,49.14,73.73,65.41,11917.0,9624.0,131.0,2794.0,29096.0
2015-01-29 00:00:00,9800.0,8366.0,91.0,3006.0,26313.0,42.67,51.07,3.0,12.0,51.88,48.08,45.38,70.99,64.92,10922.0,9127.0,113.0,2572.0,26815.0
2015-01-29 01:00:00,8485.0,8817.0,91.0,2589.0,25016.0,40.09,47.79,3.0,1.0,48.32,46.15,43.68,68.3,64.48,9917.0,8628.0,93.0,2238.0,25396.0
2015-01-29 02:00:00,8170.0,8836.0,83.0,2647.0,24408.0,39.1,46.8,3.0,2.0,48.02,42.91,42.49,64.22,59.32,9541.0,8232.0,93.0,2142.0,24739.0
2015-01-29 03:00:00,7630.0,9411.0,75.0,2411.0,24295.0,38.4,45.79,3.0,3.0,48.28,42.11,40.7,63.53,56.04,10009.0,7581.0,93.0,2402.0,24587.0
2015-01-29 04:00:00,7417.0,10338.0,75.0,2441.0,24870.0,38.5,46.15,3.0,4.0,48.11,42.31,41.48,66.7,53.63,10403.0,6979.0,93.0,2327.0,25236.0
2015-01-29 05:00:00,8027.0,10961.0,75.0,2869.0,27423.0,44.52,53.17,3.0,5.0,53.35,48.23,46.24,69.79,51.73,11687.0,6677.0,83.0,2750.0,27861.0
2015-01-29 06:00:00,9153.0,11446.0,75.0,4311.0,32153.0,49.69,57.26,3.0,6.0,69.71,53.17,56.67,75.57,51.43,12923.0,6623.0,84.0,4489.0,32646.0
2015-01-29 07:00:00,10082.0,11930.0,114.0,5957.0,35154.0,54.55,66.74,3.0,7.0,79.78,70.72,69.9,82.36,48.98,13976.0,6595.0,134.0,6028.0,35927.0
2015-01-29 08:00:00,10082.0,12102.0,709.0,6234.0,36073.0,59.82,72.99,3.0,8.0,83.04,73.93,76.22,87.03,54.2,13510.0,6506.0,973.0,6553.0,36959.0
2015-01-29 09:00:00,9460.0,12907.0,1622.0,5913.0,36481.0,61.44,78.95,3.0,9.0,88.92,78.61,79.18,91.08,58.94,13515.0,6301.0,2198.0,6322.0,37228.0
2015-01-29 10:00:00,8713.0,13761.0,2214.0,5490.0,36216.0,56.01,73.35,3.0,10.0,87.13,77.13,77.66,89.29,59.86,13232.0,6263.0,3396.0,5909.0,36794.0
2015-01-29 11:00:00,8798.0,14734.0,2537.0,4667.0,35852.0,48.77,66.42,3.0,11.0,84.35,70.98,70.25,85.45,60.12,13263.0,6404.0,3934.0,5334.0,36039.0
2015-01-29 12:00:00,8789.0,15841.0,2463.0,3588.0,35873.0,41.45,54.68,3.0,12.0,77.62,67.09,57.96,80.33,62.05,13064.5,6928.0,4006.5,4493.0,35191.0
2015-01-29 13:00:00,8327.0,16603.0,2163.0,3061.0,34750.0,37.63,50.6,3.0,13.0,72.19,61.68,54.4,77.33,62.06,12866.0,7452.0,4079.0,3652.0,34343.0
2015-01-29 14:00:00,8763.0,16931.0,1615.0,3345.0,34345.0,34.52,49.53,3.0,14.0,70.66,61.59,53.87,77.03,59.76,12535.0,8033.0,3940.0,3319.0,33886.0
