time,fossil_fuels,windpower,solarpower,other_green_energy,total_load_actual,price_day_ahead,price_actual,day_of_week,hour_of_day
2014-12-31 23:00:00,10156.0,6378.0,49.0,3709.0,25385.0,50.1,65.41,2.0,23.0
2015-01-01 00:00:00,10437.0,5890.0,50.0,3425.0,24382.0,48.1,64.92,3.0,12.0
2015-01-01 01:00:00,9918.0,5461.0,50.0,3104.0,22734.0,47.33,64.48,3.0,1.0
2015-01-01 02:00:00,8859.0,5238.0,50.0,2475.0,21286.0,42.27,59.32,3.0,2.0
2015-01-01 03:00:00,8313.0,4935.0,42.0,2407.0,20264.0,38.41,56.04,3.0,3.0
2015-01-01 04:00:00,7962.0,4618.0,34.0,2410.0,19905.0,35.72,53.63,3.0,4.0
2015-01-01 05:00:00,7738.0,4397.0,34.0,2513.0,20010.0,35.13,51.73,3.0,5.0
2015-01-01 06:00:00,7570.0,3992.0,35.0,2707.0,20377.0,36.22,51.43,3.0,6.0
2015-01-01 07:00:00,7725.0,3629.0,54.0,2743.0,20094.0,32.4,48.98,3.0,7.0
2015-01-01 08:00:00,7914.0,3073.0,743.0,3132.0,20637.0,36.6,54.2,3.0,8.0
2015-01-01 09:00:00,7915.0,2683.0,2019.0,3599.0,22250.0,43.1,58.94,3.0,9.0
2015-01-01 10:00:00,8168.0,2771.0,3197.0,3327.0,23547.0,45.14,59.86,3.0,10.0
2015-01-01 11:00:00,8474.0,2906.0,3885.0,3009.0,24133.0,45.14,60.12,3.0,11.0
2015-01-01 12:00:00,8613.0,2923.0,4007.0,3076.0,24713.0,47.35,62.05,3.0,12.0
2015-01-01 13:00:00,8461.0,2945.0,3973.0,2804.0,24672.0,47.35,62.06,3.0,13.0
2015-01-01 14:00:00,8089.0,2709.0,3818.0,2921.0,23528.0,43.61,59.76,3.0,14.0
2015-01-01 15:00:00,8423.0,2552.0,3088.0,2937.0,23118.0,44.91,61.18,3.0,15.0
2015-01-01 16:00:00,9161.0,2699.0,1467.0,3412.0,23606.0,48.1,64.74,3.0,16.0
2015-01-01 17:00:00,9958.0,2764.0,404.0,5049.0,26447.0,58.02,74.26,3.0,17.0
2015-01-01 18:00:00,9778.0,2913.0,139.0,7254.0,28020.0,61.01,74.24,3.0,18.0
2015-01-01 19:00:00,9821.0,3118.0,100.0,8169.0,29014.0,62.69,75.64,3.0,19.0
2015-01-01 20:00:00,10206.0,3373.0,75.0,8223.0,29571.0,60.41,73.92,3.0,20.0
